"","Evaluation","Task","Category"
"791","Classification","Artefact Classification","Classification (of material) and Typology"
"801","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"814","Classification","Artefact Classification","Conservation and Cataloguing"
"815","Classification","Artefact Classification","Cognitive Archaeology"
"821","Regression","Artefact Prediction","Classification (of material) and Typology"
"831","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"841","Classification","Artefact Classification","Classification (of material) and Typology"
"851","Regression","Archaeological Predictive Model","Surveying (and Site Prospection)"
"852","Regression","Archaeological Predictive Model","Landscape Archaeology"
"861","Classification","Architectural Element Classification","Conservation and Cataloguing"
"871","Classification","Artefact Classification","Geoarchaeology"
"881","Regression","Dispersion Models","Landscape Archaeology"
"882","Regression","Dispersion Models","Cognitive Archaeology"
"891","Regression","Spectra Prediction","Surveying (and Site Prospection)"
"892","Regression","Spectra Prediction","Archaeological Excavation"
"901","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"914","Classification","Text Extraction","Conservation and Cataloguing"
"921","Classification","Artefact Classification","Conservation and Cataloguing"
"931","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"932","Classification","Automatic Structure Detection","Landscape Archaeology"
"941","Regression","Artefact Prediction","Geoarchaeology"
"951","Classification","Artefact Classification","Archaeobotany"
"961","Regression","Artefact Prediction","Archaeobotany"
"971","Classification","Archaeological Predictive Model","Landscape Archaeology"
"972","Classification","Archaeological Predictive Model","Cognitive Archaeology"
"981","Classification","Artefact Classification","Classification (of material) and Typology"
"991","Classification","Archaeological Predictive Model","Geoarchaeology"
"1001","Classification","Artefact Classification","Conservation and Cataloguing"
"1002","Classification","Artefact Classification","Bioarchaeology (Biological Anthropology)"
"1014","Regression","Artefact Prediction","Bioarchaeology (Biological Anthropology)"
"1015","Regression","Artefact Prediction","Classification (of material) and Typology"
"1021","Classification","Archaeological Structure Classification","Experimental Archaeology"
"1022","Classification","Archaeological Structure Classification","Ethnoarchaeology"
"1023","Classification","Archaeological Structure Classification","Zooarchaeology"
"1031","Classification","Artefact Classification","Classification (of material) and Typology"
"1041","Classification","Taphonomic Classification","Zooarchaeology"
"1042","Classification","Taphonomic Classification","Experimental Archaeology"
"1051","Regression","Environmental Reconstruction","Geoarchaeology"
"1052","Regression","Environmental Reconstruction","Zooarchaeology"
"1053","Regression","Environmental Reconstruction","Archaeobotany"
"1054","Regression","Environmental Reconstruction","Bioarchaeology (Biological Anthropology)"
"1061","Classification","Data Quality Improvement","Conservation and Cataloguing"
"1062","Classification","Data Quality Improvement","Classification (of material) and Typology"
"1063","Classification","Data Quality Improvement","Archaeobotany"
"1071","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1081","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1091","Classification","Taphonomic Classification","Taphonomy"
"1092","Classification","Taphonomic Classification","Experimental Archaeology"
"1093","Classification","Taphonomic Classification","Zooarchaeology"
"1101","Classification","Taphonomic Classification","Taphonomy"
"1102","Classification","Taphonomic Classification","Experimental Archaeology"
"1103","Classification","Taphonomic Classification","Zooarchaeology"
"1114","Classification","Taphonomic Classification","Zooarchaeology"
"1115","Classification","Taphonomic Classification","Experimental Archaeology"
"1121","Classification","Data Quality Improvement","Classification (of material) and Typology"
"1131","Classification","Artefact Classification","Classification (of material) and Typology"
"1141","Clustering","Data Quality Improvement","Conservation and Cataloguing"
"1151","Classification","Data Quality Improvement","Conservation and Cataloguing"
"1161","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1171","Classification","Archaeological Structure Classification","Conservation and Cataloguing"
"1181","Classification","Text Extraction","Historical Archaeology"
"1191","Classification","Archaeological Structure Classification","Landscape Archaeology"
"1192","Classification","Archaeological Structure Classification","Geoarchaeology"
"1201","Classification","Artefact Classification","Conservation and Cataloguing"
"1202","Classification","Artefact Classification","Classification (of material) and Typology"
"1203","Classification","Artefact Classification","Archaeobotany"
"1214","Classification","Sourcing","Classification (of material) and Typology"
"1215","Classification","Sourcing","Geoarchaeology"
"1221","Clustering","Sourcing","Classification (of material) and Typology"
"1222","Clustering","Sourcing","Geoarchaeology"
"1231","Regression","Data Quality Improvement","Classification (of material) and Typology"
"1232","Regression","Data Quality Improvement","Geoarchaeology"
"1241","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1251","Regression","Environmental Reconstruction","Geoarchaeology"
"1252","Regression","Environmental Reconstruction","Zooarchaeology"
"1253","Regression","Environmental Reconstruction","Archaeobotany"
"1254","Regression","Environmental Reconstruction","Bioarchaeology (Biological Anthropology)"
"1261","Classification","Artefact Classification","Classification (of material) and Typology"
"1262","Classification","Artefact Classification","Experimental Archaeology"
"1271","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1281","Clustering","Architectural Element Classification","Conservation and Cataloguing"
"1291","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1292","Classification","Automatic Structure Detection","Archaeological Excavation"
"1301","Classification","Artefact Classification","Classification (of material) and Typology"
"1302","Classification","Artefact Classification","Cognitive Archaeology"
"1314","Regression","Environmental Reconstruction","Landscape Archaeology"
"1315","Regression","Environmental Reconstruction","Geoarchaeology"
"1321","Regression","Environmental Reconstruction","Landscape Archaeology"
"1322","Regression","Environmental Reconstruction","Geoarchaeology"
"1331","Regression","Archaeological Predictive Model","Landscape Archaeology"
"1341","Clustering","Data Quality Improvement","Conservation and Cataloguing"
"1342","Clustering","Data Quality Improvement","Archaeobotany"
"1351","Regression","Archaeological Predictive Model","Surveying (and Site Prospection)"
"1352","Regression","Archaeological Predictive Model","Conservation and Cataloguing"
"1361","Classification","Artefact Classification","Classification (of material) and Typology"
"1362","Classification","Artefact Classification","Bioarchaeology (Biological Anthropology)"
"1371","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1381","Regression","Archaeological Predictive Model","Surveying (and Site Prospection)"
"1391","Classification","Artefact Classification","Conservation and Cataloguing"
"1392","Classification","Artefact Classification","Cognitive Archaeology"
"1401","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1414","Classification","Architectural Element Classification","Archaeological Excavation"
"1415","Classification","Architectural Element Classification","Conservation and Cataloguing"
"1421","Classification","Artefact Classification","Geoarchaeology"
"1422","Classification","Artefact Classification","Experimental Archaeology"
"1431","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1441","Classification","Architectural Element Classification","Conservation and Cataloguing"
"1451","Classification","Architectural Element Classification","Conservation and Cataloguing"
"1461","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1462","Classification","Automatic Structure Detection","Conservation and Cataloguing"
"1471","Classification","Architectural Element Classification","Conservation and Cataloguing"
