Name;ID;Date;Algorithms;Architecture;Field;Evaluation;Task;Input;Results
Moclán et al. 2019-2;ID160;2019;"FNN; SVM; kNN; RF; NB";"Artificial Neural Network;Linear Classifier;Nearest Neighbour Classifier;Ensemble Learning;Bayesian Classifier";"Taphonomic;Experimental Archaeology;Zooarchaeology";Classification;Taphonomic Classification;Artefact Measurements;Methodological issue
Courtenay et al. 2019;ID161;2019;"FNN; SVM; kNN; NB; RF; CTREE";"Artificial Neural Network;Linear Classifier;Nearest Neighbour Classifier;Bayesian Classifier;Ensemble Learning;Decision Trees and Rule Induction";"Zooarchaeology;Experimental Archaeology";Classification;Taphonomic Classification;3D Model;Methodological issue
Canul-Ku et al. 2019-1;ID162;2019;CNN;Artificial Neural Network;Classification (of material) and Typology;Classification;Data Quality Improvement;Multilayer;Successful
Canul-Ku et al. 2019-2;ID163;2019;"SVM; SSVM; kNN";"Linear Classifier;Linear Classifier;Nearest Neighbour Classifier";Conservation and Cataloguing;Clustering;Data Quality Improvement;Data Transformations;Not defined
Huffer et al. 2019-1;ID163;2019;INC;Artificial Neural Network;Classification (of material) and Typology;Classification;Artefact Classification;Multilayer;Successful
Huffer et al. 2019-2;ID163;2019;AF;Unsupervised Learning and Clustering;Conservation and Cataloguing;Classification;Data Quality Improvement;Small Scale Images;Not defined
Verschoof-van der Vaart and Lambers 2019;ID164;2019;FR-CNN;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Janković 2019-3;ID165;2019;CNN;Artificial Neural Network;"Conservation and Cataloguing;Theory";Classification;Archaeological Structure Classification;Small Scale Images;Methodological issue
Janković 2019-2;ID165;2019;"FNN; AODE; FPA; kNN";"Artificial Neural Network;Bayesian Classifier;Ensemble Learning;Nearest Neighbour Classifier";"Conservation and Cataloguing;Historical Archaeology";;;Extraction Features Images;
Janković 2019-1;ID165;2019;"FNN; AODE; FPA; kNN";"Artificial Neural Network;Bayesian Classifier;Ensemble Learning;Nearest Neighbour Classifier";"Conservation and Cataloguing;Theory";;;Extraction Features Images;
Liceras et al. 2019;ID166;2019;FNN;Artificial Neural Network;Historical Archaeology;Classification;Text Extraction;Text Data;Mixed results
Martín-Perea et al. 2020;ID167;2020;"RF; SVM";"Ensemble Learning;Linear Classifier";"Landscape Archaeology;Geoarchaeology";Classification;Archaeological Structure Classification;3D Model;Successful
Graham et al. 2020;ID168;2020;CNN;Artificial Neural Network;"Conservation and Cataloguing;Classification (of material) and Typology;Archaeobotany";Classification;Artefact Classification;Small Scale Images;Mixed results
Sun et al. 2020;ID169;2020;"AdaBoost; RF; kNN; SVM";"Ensemble Learning;Ensemble Learning;Nearest Neighbour Classifier;Linear Classifier";"Classification (of material) and Typology;Geoarchaeology";Classification;Sourcing;Spectra;Successful
Lopez-Garcia et al. 2020-1;ID170;2020;DBS;Unsupervised Learning and Clustering;"Classification (of material) and Typology;Geoarchaeology";Clustering;Sourcing;Spectra;Successful
Lopez-Garcia et al. 2020-2;ID170;2020;CluPA;Unsupervised Learning and Clustering;"Classification (of material) and Typology;Geoarchaeology";Regression;Data Quality Improvement;Spectra;Successful
Verschoof-van der Vaart et al. 2020;ID171;2020;"FR-CNN; BAgg";"Artificial Neural Network;Ensemble Learning";Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Janzen et al. 2020;ID172;2020;RF;Ensemble Learning;"Geoarchaeology;Zooarchaeology;Archaeobotany;Bioarchaeology (Biological Anthropology)";Regression;Environmental Reconstruction;Remote Sensing Images;Successful
González-Molina et al. 2020;ID173;2020;"SVM; kNN; RF; NB; DT";"Linear Classifier;Nearest Neighbour Classifier;Ensemble Learning;Bayesian Classifier;Decision Trees and Rule Induction";"Classification (of material) and Typology;Experimental Archaeology";Classification;Artefact Classification;Artefact Measurements;Methodological issue
Orengo et al. 2020;ID174;2020;RF;Ensemble Learning;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Kogou et al. 2020;ID175;2020;SOM;Unsupervised Learning and Clustering;Conservation and Cataloguing;Clustering;Architectural Element Classification;Small Scale Images;Unsuccessful
Febriawan 2020-2;ID176;2020;SVM;Linear Classifier;"Surveying (and Site Prospection);Archaeological Excavation";Classification;Automatic Structure Detection;Multilayer;Mixed results
Febriawan 2020-1;ID176;2020;k-MC;N/A;;;;Multilayer (Backscatter imaging);
Resler et al. 2021;ID177;2021;CNN;Artificial Neural Network;"Classification (of material) and Typology;Cognitive Archaeology";Classification;Artefact Classification;Artefact Images;Successful
Küçükdemirci et al. 2021;ID178;2021;;;;;;;
Barberena et al. 2021;ID179;2021;RF;Ensemble Learning;"Landscape Archaeology;Geoarchaeology";Regression;Environmental Reconstruction;Remote Sensing Images;Successful
Bataille et al. 2021;ID180;2021;RF;Ensemble Learning;"Landscape Archaeology;Geoarchaeology";Regression;Environmental Reconstruction;Remote Sensing Images;Successful
Friggens et al. 2021;ID181;2021;RF;Ensemble Learning;Landscape Archaeology;Regression;Archaeological Predictive Model;Remote Sensing Images;Successful
Landa et al. 2021;ID182;2021;ICP;Unsupervised Learning and Clustering;"Conservation and Cataloguing;Archaeobotany";Clustering;Data Quality Improvement;3D Model;Successful
El-Hajj 2011;ID183;2021;"RF; AdaBoost; SMOTEENN; SMOTEBoost";"Ensemble Learning;Ensemble Learning;Ensemble Learning;Ensemble Learning";"Surveying (and Site Prospection);Conservation and Cataloguing";Regression;Archaeological Predictive Model;Remote Sensing Images;Mixed results
Muzzall 2021;ID184;2021;"DT; RF; GB; SP; dSL";"Decision Trees and Rule Induction;Ensemble Learning;Ensemble Learning;Ensemble Learning;Ensemble Learning";"Classification (of material) and Typology;Bioarchaeology (Biological Anthropology)";Classification;Artefact Classification;Artefact Measurements;Successful
La Russa and Santagati 2021;ID185;2021;;;;;;Multilayer;
Guyot et al. 2021;ID186;2021;MR-CNN;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Castiello and Tonini 2021;ID187;2021;RF;Ensemble Learning;Surveying (and Site Prospection);Regression;Archaeological Predictive Model;Remote Sensing Images;Successful
Fernée and Trimmis 2022;ID188;2022;"HC; k-MED; k-MC";"Unsupervised Learning and Clustering;N/A;N/A";;;;;
Jalandoni et al. 2022;ID189;2022;"VGG; ResNet; INC; CNN";"Artificial Neural Network;Artificial Neural Network;Artificial Neural Network;Artificial Neural Network";"Conservation and Cataloguing;Cognitive Archaeology";Classification;Artefact Classification;Small Scale Images;Successful
Trotter et al. 2022;ID190;2022;U-Net;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Payntar 2022;ID191;2022;ResNet;Artificial Neural Network;"Archaeological Excavation;Conservation and Cataloguing";Classification;Architectural Element Classification;Small Scale Images;Successful
Murray et al. 2022;ID192;2022;kNN;Nearest Neighbour Classifier;"Geoarchaeology;Experimental Archaeology";Classification;Artefact Classification;Spectra;Mixed results
McPherron et al. 2022;ID193;2022;;;;;;;
Masini et al. 2022;ID194;2022;ISODATA;Unsupervised Learning and Clustering;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Not defined
Pavan Kumar et al. 2022-1;ID195;2022;AleNet;Artificial Neural Network;Conservation and Cataloguing;Classification;Architectural Element Classification;Small Scale Images;Successful
Pavan Kumar et al. 2022-2;ID195;2022;SVM;Linear Classifier;Conservation and Cataloguing;Classification;Architectural Element Classification;Small Scale Images;Methodological issue
Combes et al. 2022;ID196;2022;;;;;;;
Fisher et al. 2022;ID197;2022;"RN; YOLO; SSD; FR-CNN; MR-CNN";"Artificial Neural Network;Artificial Neural Network;Artificial Neural Network;Artificial Neural Network;Artificial Neural Network";"Surveying (and Site Prospection);Conservation and Cataloguing";Classification;Automatic Structure Detection;Remote Sensing Images;Not defined
Pepe et al. 2022;ID198;2022;RF;Ensemble Learning;Conservation and Cataloguing;Classification;Architectural Element Classification;3D Model;Successful
