Name;ID;Date;Algorithms;Architecture;Field;Evaluation;Task;Input;Results
Gualandi et al. 2021-2;ID083;2021;ResNet;Artificial Neural Network;Classification (of material) and Typology;Classification;Artefact Classification;Small Scale Images;Unsuccessful
Herrault et al. 2021;ID084;2021;"RF; FNN";"Ensemble Learning;Artificial Neural Network";"Surveying (and Site Prospection);Landscape Archaeology";Classification;Automatic Structure Detection;Remote Sensing Images;Unsuccessful
Hlad et al. 2021;ID085;2021;"RF; FNN";"Ensemble Learning;Artificial Neural Network";"Classification (of material) and Typology;Bioarchaeology (Biological Anthropology)";Classification;Artefact Classification;Artefact Measurements;Successful
Holt et al. 2021;ID086;2021;RF;Ensemble Learning;Landscape Archaeology;Theory;Theory;Theory;Not defined
Jaiswal et al. 2021;ID087;2021;;;;;;;
Klassen et al. 2021;ID088;2021;;;;;;;
Kowlessar et al. 2021;ID089;2021;"ResNet; AleNet; VGG";"Artificial Neural Network;Artificial Neural Network;Artificial Neural Network";"Conservation and Cataloguing;Cognitive Archaeology";Classification;Artefact Classification;Remote Sensing Images;Mixed results
Ma et al. 2021;ID090;2021;"SVM; kNN";"Linear Classifier;Nearest Neighbour Classifier";Archaeobotany;Classification;Species Classification;Data Transformations;Successful
Matrone and Martini 2021-1;ID091;2021;RF;Ensemble Learning;Conservation and Cataloguing;Classification;Architectural Element Classification;3D Model;Mixed results
Mesanza-Moraza et al. 2021;ID091;2021;"RF; DT";"Ensemble Learning;Decision Trees and Rule Induction";Conservation and Cataloguing;Regression;Data Quality Improvement;3D Model;Successful
Matrone and Martini 2021-2;ID092;2021;DGCNN;Artificial Neural Network;Conservation and Cataloguing;Regression;Architectural Reconstruction;"Extraction Features Images; Stastical counting";Successful
Navarro et al. 2021-1;ID093;2021;"CNN; ResNet";"Artificial Neural Network;Artificial Neural Network";Classification (of material) and Typology;Classification;Artefact Classification;Small Scale Images;Successful
Navarro et al. 2021-2;ID093;2021;"SVM; RF";"Linear Classifier;Ensemble Learning";Classification (of material) and Typology;Classification;Artefact Classification;Small Scale Images;Successful
Nogales et al. 2021;ID094;2021;GAN;Artificial Neural Network;Conservation and Cataloguing;Regression;Architectural Reconstruction;Small Scale Images;Mixed results
Pawlowicz and Downum 2021;ID095;2021;"ResNet; VGG";"Artificial Neural Network;Artificial Neural Network";Classification (of material) and Typology;Classification;Artefact Classification;Small Scale Images;Successful
Payntar et al. 2021;ID096;2021;;;;;;;
Reese 2021;ID097;2021;FNN;Artificial Neural Network;"Landscape Archaeology;Archaeological Dating;Classification (of material) and Typology;";Regression;Chronology;Stastical Counting;Mixed results
Reich et al. 2021;ID098;2021;MR-CNN;Artificial Neural Network;"Conservation and Cataloguing;Archaeological Excavation";Classification;Image Segmentation;Remote Sensing Images;Successful
Tanti et al. 2021;ID099;2021;"U-Net; RF; FNN";"Artificial Neural Network;Ensemble Learning;Artificial Neural Network";"Conservation and Cataloguing;Bioarchaeology (Biological Anthropology)";Classification;Artefact Classification;Small Scale Images;Successful
Vos et al. 2021;ID100;2021;C4.5;Decision Trees and Rule Induction;"Archaeological Excavation;Geoarchaeology";Classification;Archaeological Structure Classification;Spectra;Unsuccessful
Zhao 2021;ID101;2021;;;;;;;
Zhong et al. 2021;ID102;2021;;;;;;;
Abellán et al. 2022;ID103;2022;"kkNN; RF; FNN; C5.0; SGB";"Nearest Neighbour Classifier;Ensemble Learning;Artificial Neural Network;Decision Trees and Rule Induction;Ensemble Learning";"Taphonomic;Zooarchaeology";Classification;Taphonomic Classification;Small Scale Images;Successful
Altaweel et al. 2022;ID104;2022;MR-CNN;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Anglisano et al. 2022;ID105;2022;"kkNN; RF; FNN";"Nearest Neighbour Classifier;Ensemble Learning;Artificial Neural Network";Classification (of material) and Typology;Classification;Sourcing;Spectra;Successful
Badawy 2022;ID106;2022;"k-MC; HC";"N/A;Unsupervised Learning and Clustering";;;;Spectra;
Banasiak et al. 2022;ID107;2022;"MR-CNN; R-CNN; FR-CNN; U-Net";"Artificial Neural Network;Artificial Neural Network;Artificial Neural Network;Artificial Neural Network";"Surveying (and Site Prospection);Landscape Archaeology";Classification;Automatic Structure Detection;Remote Sensing Images;Unsuccessful
Barron and Denham 2022;ID108;2022;;;;;;Stastical Counting;
Bouzid and Barge 2022;ID109;2022;k-MC;N/A;;;;Stastical Counting;
Demjan et al. 2022;ID110;2022;HC;Unsupervised Learning and Clustering;;;;Small Scale Images;
Doyle et al. 2022;ID111;2022;RF;Ensemble Learning;"Surveying (and Site Prospection);Landscape Archaeology";Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Emmit et al. 2022;ID112;2022;FR-CNN;Artificial Neural Network;Classification (of material) and Typology;Classification;Artefact Classification;Artefact Images;Successful
Fiorucci et al. 2022;ID113;2022;FR-CNN;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Horn et al. 2022;ID114;2022;FR-CNN;Artificial Neural Network;"Conservation and Cataloguing;Cognitive Archaeology";Classification;Artefact Classification;Multilayer;Successful
Johnson et al. 2022;ID115;2022;"RF; GB; NB";"Ensemble Learning;Ensemble Learning;Bayesian Classifier";Classification (of material) and Typology;Regression;Artefact Prediction;3D Model;Unsuccessful
Yang et al. 2022;ID116;2022;"SegNet; SimpleNet";"Artificial Neural Network;Artificial Neural Network";Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Küçükdemirci and Sarris 2022;ID117;2022;;;"Surveying (and Site Prospection);Archaeological Excavation;Theory";Theory;Theory;Theory;
Lerner and Shimshoni 2022;ID118;2022;;;;;;;
Liggins et al. 2022;ID119;2022;;;;;;;
